departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source
0,2,2400,12,1,0,0,53,90,86,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,12869,32869,KZB,"Zachar Bay, AK",US,United States,10056,30056,A43,"Kodiak Island, AK",US,United States,0,40,4,2018,11,1,F,DU
0,1,1200,6,3,0,0,53,30,28,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,12869,32869,KZB,"Zachar Bay, AK",US,United States,10056,30056,A43,"Kodiak Island, AK",US,United States,0,40,4,2018,11,1,L,DU
0,24,24000,120,65,55,0,47,710,659,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2018,11,1,F,DU
0,15,22500,135,60,22,0,47,477,447,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,1,131,3,2018,11,1,F,DU
0,15,37500,135,83,77,0,47,409,378,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,4,416,3,2018,11,1,F,DU
0,20,20000,100,32,0,0,47,674,634,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2018,11,1,L,DU
0,3,4500,27,13,0,0,47,95,89,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,1,131,3,2018,11,1,L,DU
0,2,5000,18,13,0,0,47,53,49,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,4,416,3,2018,11,1,L,DU
0,2,2000,10,0,645,0,39,42,38,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10243,30243,AKK,"Akhiok, AK",US,United States,0,79,3,2018,11,1,F,DU
0,1,2500,9,2,372,125,39,20,18,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,10243,30243,AKK,"Akhiok, AK",US,United States,4,416,3,2018,11,1,F,DU
0,1,1500,9,0,0,0,34,30,28,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13863,33863,OLH,"Old Harbor, AK",US,United States,12721,32721,KLN,"Larsen Bay, AK",US,United States,1,131,3,2018,11,1,F,DU
0,1,750,3,2,0,0,37,31,29,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13888,33888,ONN,"Onion Bay, AK",US,United States,10056,30056,A43,"Kodiak Island, AK",US,United States,0,33,4,2018,11,1,L,DU
0,44,44000,220,80,97,0,16,658,567,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2018,11,1,F,DU
0,3,4500,27,8,3,0,16,42,36,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,1,131,3,2018,11,1,F,DU
0,20,20000,100,29,0,0,16,266,226,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2018,11,1,L,DU
0,1,1500,9,0,0,0,16,12,10,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,1,131,3,2018,11,1,L,DU
0,1,1000,5,2,0,0,20,18,16,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,11299,31299,DGB,"Danger Bay, AK",US,United States,0,79,3,2018,11,1,L,DU
0,1,1500,9,0,0,0,48,26,24,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12721,32721,KLN,"Larsen Bay, AK",US,United States,1,131,3,2018,11,1,F,DU
0,1,1000,5,0,0,0,48,27,25,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12721,32721,KLN,"Larsen Bay, AK",US,United States,0,79,3,2018,11,1,L,DU
0,2,2000,10,1,36,0,15,21,17,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12772,32772,KOZ,"Ouzinkie, AK",US,United States,0,79,3,2018,11,1,F,DU
0,1,1500,9,1,654,0,15,10,8,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12772,32772,KOZ,"Ouzinkie, AK",US,United States,1,131,3,2018,11,1,F,DU
0,1,1000,5,1,0,0,15,14,12,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12772,32772,KOZ,"Ouzinkie, AK",US,United States,0,79,3,2018,11,1,L,DU
0,1,1500,9,1,0,0,15,12,10,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,13934,33934,ORI,"Port Lions, AK",US,United States,12772,32772,KOZ,"Ouzinkie, AK",US,United States,1,131,3,2018,11,1,L,DU
0,4,4000,20,8,0,0,104,259,251,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,14855,34855,SKJ,"Sitkinak, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,0,79,3,2018,11,1,L,DU
0,2,3000,18,3,0,0,104,92,88,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,14855,34855,SKJ,"Sitkinak, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,1,131,3,2018,11,1,L,DU
0,1,2500,9,0,0,0,104,60,55,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,14855,34855,SKJ,"Sitkinak, AK",US,United States,10170,30070,ADQ,"Kodiak, AK",US,United States,4,416,3,2018,11,1,L,DU
0,1,1000,5,3,0,0,28,23,21,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,14855,34855,SKJ,"Sitkinak, AK",US,United States,10243,30243,AKK,"Akhiok, AK",US,United States,0,79,3,2018,11,1,L,DU
0,1,1200,6,1,1,149,14,12,10,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,15091,35091,SYB,"Seal Bay, AK",US,United States,12705,32705,KKB,"Kitoi Bay, AK",US,United States,0,40,4,2018,11,1,F,DU
0,2,1500,6,1,95,59,13,25,21,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,15091,35091,SYB,"Seal Bay, AK",US,United States,12782,32782,KPR,"Port Williams, AK",US,United States,0,33,4,2018,11,1,F,DU
0,2,2400,12,0,56,64,13,30,26,2O,20443,Island Air Service,D,2O,Island Air Service,1,5,15091,35091,SYB,"Seal Bay, AK",US,United States,12782,32782,KPR,"Port Williams, AK",US,United States,0,40,4,2018,11,1,F,DU
